date,pressure,height,temperature,dewpoint,u_wind,v_wind
2024-01-06 12:00:00,100.0,15945.675,-53.428024,-73.03428,16.817425,0.22606307
2024-01-07 12:00:00,1000.0,60.439644,8.376984,-2.6349792,1.4630251,1.7580065
2024-01-07 12:00:00,975.0,268.58698,7.0472717,-3.9607143,1.464798,1.742332
2024-01-07 12:00:00,950.0,481.09213,5.6739807,-5.320999,1.4571238,1.7466953
2024-01-07 12:00:00,925.0,698.177,4.2378235,-6.758795,1.4479847,1.755426
2024-01-07 12:00:00,900.0,920.0728,2.8192444,-8.167254,1.4701519,1.7747765
2024-01-07 12:00:00,875.0,1147.0186,1.3524475,-9.645144,1.5013666,1.7583069
2024-01-07 12:00:00,850.0,1379.2844,-0.15719604,-11.132349,1.4888659,1.7212424
2024-01-07 12:00:00,825.0,1617.0942,-1.7581482,-12.766592,1.5580525,1.8347249
2024-01-07 12:00:00,800.0,1860.1472,-2.6194763,-16.836176,2.8495812,3.1610072
2024-01-07 12:00:00,775.0,2111.2205,-3.2200623,-19.19022,2.3053722,4.7028084
2024-01-07 12:00:00,750.0,2370.0774,-4.2861023,-20.01373,2.2932115,5.3282604
2024-01-07 12:00:00,700.0,2910.4434,-7.565277,-19.490162,2.2434063,4.2894044
2024-01-07 12:00:00,650.0,3481.8254,-12.281464,-22.482365,2.8790245,3.9088316
2024-01-07 12:00:00,600.0,4087.214,-17.549637,-22.753769,4.4836435,4.4213142
2024-01-07 12:00:00,550.0,4731.632,-22.908707,-22.350948,7.334505,5.3413315
2024-01-07 12:00:00,500.0,5422.89,-27.97374,-27.978827,9.632082,6.460598
2024-01-07 12:00:00,450.0,6170.5156,-33.514587,-33.759953,11.100038,8.248632
2024-01-07 12:00:00,400.0,6987.1143,-39.043365,-39.36914,13.902091,11.277297
2024-01-07 12:00:00,350.0,7888.1206,-46.618164,-47.35319,20.698914,11.921638
2024-01-07 12:00:00,300.0,8889.737,-55.384583,-55.5709,33.394012,15.782513
2024-01-07 12:00:00,250.0,10035.497,-60.329956,-63.18575,40.298874,13.935194
2024-01-07 12:00:00,200.0,11421.006,-60.555847,-77.329414,31.596802,11.35452
2024-01-07 12:00:00,150.0,13228.136,-57.957504,-76.84672,28.172882,5.059231
2024-01-07 12:00:00,100.0,15827.993,-54.242615,-73.8103,15.179062,1.800292
2024-01-08 12:00:00,1000.0,111.2305,3.8312073,0.3328278,-1.0109825,-4.291505
2024-01-08 12:00:00,975.0,315.9958,2.4933167,-1.013031,-1.0157576,-4.302458
2024-01-08 12:00:00,950.0,525.0774,1.1304016,-2.3572478,-1.0298386,-4.323694
2024-01-08 12:00:00,925.0,738.64056,-0.27450562,-3.7438202,-1.0214767,-4.32932
2024-01-08 12:00:00,900.0,956.9443,-1.6775818,-5.1475525,-1.0183706,-4.3212013
2024-01-08 12:00:00,875.0,1180.2075,-3.1235657,-6.564557,-0.99341583,-4.2938375
2024-01-08 12:00:00,850.0,1408.6858,-4.62558,-8.086093,-0.9940443,-4.1779327
2024-01-08 12:00:00,825.0,1642.6923,-6.001129,-9.462552,-0.9454355,-4.385522
2024-01-08 12:00:00,800.0,1882.7701,-7.9253235,-9.56341,-1.7738686,-7.933672
2024-01-08 12:00:00,775.0,2128.5623,-10.102875,-10.61911,-1.703331,-13.277908
2024-01-08 12:00:00,750.0,2380.3079,-12.229034,-12.270285,-1.0571203,-16.695343
2024-01-08 12:00:00,700.0,2904.6401,-14.7986145,-14.631302,-4.333048,-14.94014
2024-01-08 12:00:00,650.0,3462.381,-18.288483,-17.645344,-0.55876255,-10.801663
2024-01-08 12:00:00,600.0,4056.5063,-20.84607,-20.164577,-2.0480328,-10.265327
2024-01-08 12:00:00,550.0,4694.197,-25.40097,-24.186255,-3.0538998,-7.809847
2024-01-08 12:00:00,500.0,5377.9976,-30.651184,-30.108576,-3.6331987,-3.3198547
2024-01-08 12:00:00,450.0,6117.478,-36.300446,-37.749077,-1.4429932,0.6809025
2024-01-08 12:00:00,400.0,6923.1514,-42.654663,-43.622467,0.9996128,9.889195
2024-01-08 12:00:00,350.0,7809.217,-50.330414,-50.906883,2.1138086,14.446778
2024-01-08 12:00:00,300.0,8800.332,-55.89685,-67.279106,4.772208,8.047437
2024-01-08 12:00:00,250.0,9955.116,-56.757446,-73.09923,5.8620033,6.4546804
2024-01-08 12:00:00,200.0,11370.973,-56.046753,-74.59348,10.435507,3.7031448
2024-01-08 12:00:00,150.0,13198.691,-56.270203,-75.41171,14.931094,2.3681822
2024-01-08 12:00:00,100.0,15775.828,-53.503525,-73.113235,18.710754,-2.4206982
2024-01-09 12:00:00,1000.0,119.73457,6.2170715,-6.269559,0.6595036,1.5806735
2024-01-09 12:00:00,975.0,326.27335,4.8576965,-7.6211824,0.66792035,1.5886061
2024-01-09 12:00:00,950.0,537.14825,3.4883728,-8.99545,0.6572243,1.5588232
2024-01-09 12:00:00,925.0,752.55493,2.1029968,-10.383817,0.638422,1.5548278
2024-01-09 12:00:00,900.0,972.74194,0.68063354,-11.815195,0.6697939,1.5515823
2024-01-09 12:00:00,875.0,1197.9495,-0.78738403,-13.2513275,0.67787147,1.6131543
2024-01-09 12:00:00,850.0,1428.3885,-2.4806213,-14.970224,0.667109,1.6293145
2024-01-09 12:00:00,825.0,1664.3202,-4.2863464,-17.149883,1.0394564,1.4784782
2024-01-09 12:00:00,800.0,1906.1268,-5.2048035,-18.910095,5.2225275,-0.21543407
2024-01-09 12:00:00,775.0,2154.509,-6.4180603,-21.342585,10.631094,-3.3481665
2024-01-09 12:00:00,750.0,2410.1526,-7.3945007,-22.010355,15.534919,-7.2984524
2024-01-09 12:00:00,700.0,2947.2583,-7.4273376,-20.899944,9.735081,-15.397558
2024-01-09 12:00:00,650.0,3520.1077,-12.005096,-24.221039,1.175975,-16.072739
2024-01-09 12:00:00,600.0,4125.242,-17.331451,-26.564682,4.1067743,-18.024887
2024-01-09 12:00:00,550.0,4773.807,-19.526657,-28.808044,10.665949,-23.596237
2024-01-09 12:00:00,500.0,5480.017,-20.745056,-33.694874,13.239815,-30.424286
2024-01-09 12:00:00,450.0,6254.427,-24.00064,-37.6223,13.41115,-35.014633
2024-01-09 12:00:00,400.0,7103.451,-30.047195,-44.741585,10.4354,-36.472
2024-01-09 12:00:00,350.0,8039.7754,-37.1111,-53.179863,9.913545,-41.802933
2024-01-09 12:00:00,300.0,9085.913,-45.698563,-59.6099,13.235321,-44.394516
2024-01-09 12:00:00,250.0,10272.213,-55.643448,-65.8741,12.048472,-49.6174
2024-01-09 12:00:00,200.0,11660.466,-65.12445,-70.06881,18.007217,-52.990356
2024-01-09 12:00:00,150.0,13395.145,-64.411514,-80.60851,21.796585,-33.2256
2024-01-09 12:00:00,100.0,15884.467,-64.138596,-82.49099,18.441269,-17.7191
2024-01-10 12:00:00,1000.0,12.829132,11.319122,0.37258625,2.6705694,0.7223205
2024-01-10 12:00:00,975.0,223.14912,9.953278,-0.9786196,2.6645622,0.7234348
2024-01-10 12:00:00,950.0,437.86453,8.559967,-2.3575592,2.6569033,0.7009095
2024-01-10 12:00:00,925.0,657.20746,7.111969,-3.8561125,2.6434717,0.700496
2024-01-10 12:00:00,900.0,881.4124,5.6374817,-5.3443356,2.6864357,0.72566867
2024-01-10 12:00:00,875.0,1110.7239,4.148224,-6.791815,2.683566,0.74030256
2024-01-10 12:00:00,850.0,1345.3988,2.6360168,-8.268515,2.673479,0.73005855
2024-01-10 12:00:00,825.0,1585.7057,1.0904846,-9.912326,2.76795,0.71598643
2024-01-10 12:00:00,800.0,1831.5979,-0.6095886,-13.705835,6.1813507,-1.177041
2024-01-10 12:00:00,775.0,2083.7742,-3.270111,-17.16309,9.231129,-2.6431131
