date,flights,max_distance,url
2024-02-05,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-05&filter%5Bvalue_mode%5D=dst
2024-02-06,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-06&filter%5Bvalue_mode%5D=dst
2024-02-07,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-07&filter%5Bvalue_mode%5D=dst
2024-02-08,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-08&filter%5Bvalue_mode%5D=dst
2024-02-09,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-09&filter%5Bvalue_mode%5D=dst
2024-02-10,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-10&filter%5Bvalue_mode%5D=dst
2024-02-11,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-11&filter%5Bvalue_mode%5D=dst
2024-02-12,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-12&filter%5Bvalue_mode%5D=dst
2024-02-13,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-13&filter%5Bvalue_mode%5D=dst
2024-02-14,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-14&filter%5Bvalue_mode%5D=dst
2024-02-15,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-15&filter%5Bvalue_mode%5D=dst
2024-02-16,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-16&filter%5Bvalue_mode%5D=dst
2024-02-17,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-17&filter%5Bvalue_mode%5D=dst
2024-02-18,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-18&filter%5Bvalue_mode%5D=dst
2024-02-19,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-19&filter%5Bvalue_mode%5D=dst
2024-02-20,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-20&filter%5Bvalue_mode%5D=dst
2024-02-21,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-21&filter%5Bvalue_mode%5D=dst
2024-02-22,2,1.57,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-22&filter%5Bvalue_mode%5D=dst
2024-02-23,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-23&filter%5Bvalue_mode%5D=dst
2024-02-24,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-24&filter%5Bvalue_mode%5D=dst
2024-02-25,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-25&filter%5Bvalue_mode%5D=dst
2024-02-26,0,0,https://www.xcontest.org/2025/world/en/flights-search/?filter%5Bpoint%5D=-105.031672+39.816687&filter%5Bradius%5D=50000&filter%5Bmode%5D=START&filter%5Bdate_mode%5D=dmy&filter%5Bdate%5D=2024-02-26&filter%5Bvalue_mode%5D=dst
